Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
IDXX,Weekly,2020-11-13,485.000000,485.000000,421.150000,453.640000,2771635,453.640000,453.640000,453.640000,453.640000,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2020-11-20,452.090000,469.130000,443.650000,464.290000,1892817,458.965000,455.770000,454.654286,454.248571,0.186954,0.037391,23.476766,23.476766,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2020-11-27,467.260000,467.260000,443.140000,454.230000,1435101,456.597500,455.462000,454.613878,454.247510,0.154705,0.060854,23.237907,23.433337,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2020-12-04,454.770000,468.980000,451.310000,457.150000,2068640,456.873750,455.799600,454.855413,454.413367,0.178852,0.084453,22.944864,23.344524,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2020-12-11,455.920000,462.700000,447.820000,456.230000,2112336,456.551875,455.885680,454.986326,454.517174,0.179596,0.103482,22.562411,23.202321,Neutral,Neutral,49.500000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2020-12-18,458.840000,486.990000,453.800000,485.520000,2493363,471.035937,461.812544,457.894295,456.288764,0.688536,0.220493,22.455910,23.066610,Neutral,Neutral,50.600000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2020-12-25,480.060000,502.000000,470.260000,497.140000,1037493,484.087969,468.878035,461.631981,458.623121,1.274671,0.431328,22.372721,22.940449,Neutral,Neutral,51.900000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2021-01-01,503.630000,503.830000,490.050000,499.870000,886056,491.978984,475.076428,465.273697,460.980085,1.758900,0.696843,22.212318,22.808061,Neutral,Neutral,51.400000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2021-01-08,503.000000,513.560000,479.360000,513.200000,2363273,502.589492,482.701143,469.838107,463.964080,2.335526,1.024579,22.098823,22.679109,Neutral,Neutral,51.800000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2021-01-15,515.570000,516.870000,480.930000,489.460000,1768404,496.024746,484.052914,471.706859,465.420990,2.357334,1.291130,21.640161,22.490209,Neutral,Neutral,49.800000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2021-01-22,489.240000,498.980000,481.350000,492.860000,1196606,494.442373,485.814331,473.721444,466.988934,2.402750,1.513454,21.170492,22.250261,Neutral,Neutral,49.400000,50.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2021-01-29,492.470000,495.970000,455.230000,478.680000,2267049,486.561187,484.387465,474.193687,467.656994,2.174578,1.645679,20.504920,21.932926,Neutral,Neutral,49.700000,50.000000,False,True,,,,False,,,,False,False,
IDXX,Weekly,2021-02-05,483.020000,522.900000,479.370000,502.640000,2620128,494.600593,488.037972,476.902860,469.656023,2.367666,1.790076,20.092537,21.598310,Neutral,Neutral,47.300000,92.307692,False,False,,,,False,,,,False,False,
IDXX,Weekly,2021-02-12,504.310000,545.850000,491.440000,544.080000,2145212,519.340297,499.246378,483.300683,473.908822,3.163984,2.064858,20.070063,21.320447,Neutral,Neutral,53.500000,100.000000,False,False,,,,False,,,,False,False,
IDXX,Weekly,2021-02-19,545.000000,573.990000,531.190000,544.130000,3009235,531.735148,508.223102,489.093951,477.921461,3.735021,2.398891,19.945153,21.070393,Neutral,Neutral,52.900000,93.333333,True,False,,,,False,,,,False,False,
IDXX,Weekly,2021-02-26,547.120000,547.120000,507.340000,520.170000,2493474,525.952574,510.612482,492.053575,480.335663,3.748134,2.668739,19.499907,20.784850,Neutral,Neutral 🔴EXIT,54.400000,75.000000,False,False,573.990000,545.290500,602.689500,False,-9.376470,528.070800,45.919200,False,True,Stop Loss Hit ($528.07)
