Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
GH,Weekly,2025-05-09,18124063,45.8,46.18,38.86,41.72,41.72,41.72,41.72,41.72,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
GH,Weekly,2025-05-16,8292547,42.47,43.46,39.28,40.67,41.195,41.51,41.62,41.66,-0.20114364529752266,-0.04022872905950453,-0.16091491623801812,-25.167785234899263,-25.167785234899263,False,False,False,False,True,True,True,True,Neutral Sell,False,False,,,,False,,,,,,,False,False,,Neutral Sell ↓,50.0,50.0
GH,Weekly,2025-05-23,7761791,40.04,40.64,36.36,38.0,39.5975,40.808,41.275238095238095,41.45085714285714,-0.8735819578273861,-0.20689937481308088,-0.6666825830143053,-25.381978733805376,-25.206729507427646,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
GH,Weekly,2025-05-30,6949493,38.89,41.15,37.73,40.62,40.10875,40.7704,41.21283446712018,41.40337959183673,-0.885456685557424,-0.3426108369619495,-0.5428458485954745,-25.065909437077742,-25.181125858273116,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
GH,Weekly,2025-06-06,15188231,41.66,50.25,39.7,48.06,44.084375,42.228320000000004,41.8649454702516,41.783757900874626,0.5461269870306282,-0.164863272163434,0.7109902591940622,-23.694099356178775,-24.91075740334687,True,True,True,True,False,False,False,False,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,52.8,50.0
GH,Weekly,2025-06-13,9750707,48.44,50.54,46.85,49.29,46.6871875,43.64065600000001,42.572093520703824,42.21268602082465,1.8632053074333528,0.2407504437559234,1.6224548636774294,-22.261112921467465,-24.429003861186978,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,53.5,50.0
GH,Weekly,2025-06-20,9341982,49.76,51.71,48.0,49.14,47.913593750000004,44.74052480000001,43.19760842349394,42.60853253392038,2.817867857356548,0.7561739264760483,2.0616939308805,-20.93494779716192,-23.79372094045515,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,55.6,50.0
GH,Weekly,2025-06-27,11206424,48.51,53.42,47.45,50.86,49.386796875,45.964419840000005,43.92736000220881,43.0800449605535,3.8181307095349575,1.3685652830878303,2.449565426447127,-19.505780334862763,-23.014095375801986,True,True,True,True,False,False,False,False,Neutral,True,False,,,,False,,,,,,,False,False,,Neutral,54.4,50.0
GH,Weekly,2025-07-04,6523619,51.17,52.45,49.25,50.5,49.9433984375,46.87153587200001,44.553325716284164,43.504042391379016,4.4686918853184485,1.988590603533954,2.4801012817844947,-18.218806411764852,-22.14222465506796,True,True,True,True,False,False,False,False,Neutral,False,False,53.42,1.0,2025-06-27,False,-5.466117558966682,50.749,56.091,49.14640000000001,4.273599999999995,8.0,False,False,,Neutral,50.1,50.0
GH,Weekly,2025-07-11,9565574,50.08,52.46,48.9,50.25,50.096699218750004,47.547228697600005,45.0958661242571,43.889525683300214,4.86622667660889,2.564117818148941,2.302108858459949,-17.04888789355018,-21.21616342570109,True,True,True,True,False,False,False,False,Neutral,False,False,53.42,2.0,2025-06-27,False,-5.9341070760015,50.749,56.091,49.14640000000001,4.273599999999995,8.0,False,False,,Neutral,49.4,50.0
GH,Weekly,2025-07-18,9447699,50.63,51.05,46.05,46.46,48.278349609375,47.32978295808001,45.22578363623262,44.03640992996877,4.4636294827770655,2.944020151074566,1.5196093317024997,-16.358052745332827,-20.332870574725042,True,True,True,True,False,False,False,False,Neutral,False,False,53.42,3.0,2025-06-27,False,-13.028828154249346,50.749,56.091,49.14640000000001,4.273599999999995,8.0,False,True,Stop Loss Hit ($49.15),Neutral 🔴EXIT,48.5,27.27272727272727
GH,Weekly,2025-07-25,8794046,46.79,47.0,44.3,44.42,46.3491748046875,46.74782636646401,45.1490423375438,44.05832936254198,3.7462813841441,3.1044723976884727,0.6418089864556271,-15.91350676394405,-19.52934988185577,False,True,False,True,True,False,True,False,Neutral Sell,False,False,53.42,4.0,2025-06-27,False,-16.847622613253463,50.749,56.091,49.14640000000001,4.273599999999995,8.0,False,True,Stop Loss Hit ($49.15),Neutral Sell ↓ 🔴EXIT,47.1,8.333333333333332
GH,Weekly,2025-08-01,20086792,44.62,46.25,40.35,41.42,43.884587402343755,45.682261093171206,44.79389544825391,43.90756768468244,2.6175214910874702,3.0070822163682727,-0.38956072528080243,-15.806784344217885,-18.852519784103425,False,True,False,True,True,False,True,False,Neutral,False,True,53.42,5.0,2025-06-27,False,-22.463496817671285,50.749,56.091,49.14640000000001,4.273599999999995,8.0,False,True,Stop Loss Hit ($49.15),Neutral 🔴EXIT,44.5,7.6923076923076925
GH,Weekly,2025-08-08,21595781,41.93,54.62,41.19,54.23,49.05729370117187,47.39180887453696,45.69257207222973,44.497420959843446,3.9271500554357166,3.191095784181762,0.7360542712539546,-13.995602657651276,-17.969443942930305,True,True,False,True,False,False,True,False,Neutral Buy,False,False,53.42,6.0,2025-06-27,True,1.5162860351928025,50.749,56.091,49.14640000000001,4.273599999999995,8.0,False,False,,Neutral Buy ↑,55.7,35.714285714285715
