Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
XOM,Daily,2020-11-11,37.090000,37.120000,36.190000,36.480000,34124484,36.480000,36.480000,36.480000,36.480000,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-12,35.860000,36.290000,34.870000,35.230000,30955266,35.855000,36.230000,36.360952,36.408571,-0.274037,-0.054807,-34.265351,-34.265351,Neutral Sell,Neutral Sell ↓,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-13,35.400000,36.250000,35.380000,36.080000,29260240,35.967500,36.200000,36.334195,36.389796,-0.299458,-0.103738,-33.956396,-34.209177,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-16,37.590000,38.170000,37.100000,38.160000,38596815,37.063750,36.592000,36.508081,36.490950,0.139944,-0.055001,-33.207706,-34.027092,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-17,37.810000,38.700000,37.380000,38.670000,26521077,37.866875,37.007600,36.713978,36.615468,0.590622,0.074123,-32.321538,-33.716991,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-18,39.020000,39.120000,37.200000,37.210000,31068017,37.538438,37.048080,36.761218,36.649441,0.619069,0.183112,-31.593060,-33.330822,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-19,36.860000,37.500000,36.560000,37.400000,26954361,37.469219,37.118464,36.822055,36.692330,0.675161,0.281522,-30.776401,-32.866382,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-20,37.350000,37.410000,36.780000,36.940000,18359574,37.204609,37.082771,36.833288,36.706483,0.612019,0.347621,-29.980807,-32.341732,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-23,37.500000,39.430000,37.280000,39.360000,29367591,38.282305,37.538217,37.073927,36.858112,1.075238,0.493145,-28.795723,-31.697003,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
XOM,Daily,2020-11-24,40.510000,42.080000,40.220000,41.980000,46542346,40.131152,38.426574,37.541172,37.150791,1.974049,0.789326,-27.278518,-30.893642,Neutral,Neutral,50.000000,50.000000,True,False,,,,False,,,,False,False,
XOM,Daily,2020-11-25,41.670000,41.710000,40.650000,40.810000,28178174,40.470576,38.903259,37.852489,37.359889,2.397562,1.110973,-25.985201,-30.001198,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,True,-3.018061,38.713600,3.366400,False,False,
XOM,Daily,2020-11-27,40.700000,40.940000,39.870000,40.190000,14971948,40.330288,39.160607,38.075109,37.521610,2.567904,1.402359,-24.822961,-29.059700,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,True,-4.491445,38.713600,3.366400,False,False,
XOM,Daily,2020-11-30,39.800000,39.880000,37.970000,38.130000,45614336,39.230144,38.954486,38.080337,37.556375,2.245180,1.570923,-23.969690,-28.134244,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,False,-9.386882,38.713600,3.366400,False,True,Stop Loss Hit ($38.71)
XOM,Daily,2020-12-01,38.960000,39.650000,38.470000,38.500000,34232246,38.865072,38.863589,38.120305,37.610296,2.043419,1.665422,-23.062406,-27.212092,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,False,-8.507605,38.713600,3.366400,False,True,Stop Loss Hit ($38.71)
XOM,Daily,2020-12-02,38.390000,40.420000,38.340000,39.940000,29369501,39.402536,39.078871,38.293609,37.743422,2.159081,1.764154,-21.967214,-26.258477,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,False,-5.085551,38.713600,3.366400,False,False,
XOM,Daily,2020-12-03,40.070000,40.630000,39.730000,40.210000,27038943,39.806268,39.305097,38.476122,37.884369,2.278493,1.867022,-20.879378,-25.280459,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,True,-4.443916,38.713600,3.366400,False,False,
XOM,Daily,2020-12-04,40.770000,41.760000,40.650000,41.680000,28723633,40.743134,39.780077,38.781254,38.101263,2.642506,2.022119,-19.645924,-24.255998,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,True,-0.950570,38.713600,3.366400,False,False,
XOM,Daily,2020-12-07,41.420000,41.540000,40.670000,40.900000,24899416,40.821567,40.004062,38.983039,38.261191,2.734759,2.164647,-18.587010,-23.225273,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,True,-2.804183,38.713600,3.366400,False,False,
XOM,Daily,2020-12-08,40.530000,42.590000,40.440000,42.240000,32573849,41.530784,40.451249,39.293226,38.488551,3.041335,2.339984,-17.410478,-22.168038,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,True,0.380228,38.713600,3.366400,False,False,
XOM,Daily,2020-12-09,42.710000,43.730000,42.380000,42.800000,37824821,42.165392,40.921000,39.627204,38.734920,3.351548,2.542297,-16.242870,-21.090734,Neutral,Neutral,50.000000,50.000000,False,False,42.080000,39.976000,44.184000,True,1.711027,38.713600,3.366400,False,False,
XOM,Daily,2020-12-10,43.200000,44.470000,42.760000,44.010000,38058672,43.087696,41.538800,40.044613,39.036353,3.785818,2.791001,-15.009629,-19.985079,Neutral,Neutral,50.000000,50.000000,True,False,42.080000,39.976000,44.184000,True,4.586502,38.713600,3.366400,False,False,
XOM,Daily,2020-12-11,43.700000,43.920000,43.210000,43.800000,25478805,43.443848,41.991040,40.402269,39.308561,4.032093,3.039220,-13.901658,-18.879002,Neutral,Neutral,53.200000,50.000000,False,False,44.470000,42.246500,46.693500,True,-1.506634,40.912400,3.557600,False,False,
