Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
FTI,Daily,2025-05-12,3438560,31.19,31.31,30.26,30.75,30.75,30.75,30.75,30.75,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-13,4200916,31.05,31.51,30.91,31.28,31.015,30.856,30.800476190476193,30.780285714285714,0.137318023545801,0.027463604709160202,0.1098544188366408,17.23577235772367,17.23577235772367,False,False,False,False,True,True,True,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
FTI,Daily,2025-05-14,2949763,30.97,31.76,30.97,31.48,31.247500000000002,30.980800000000002,30.865192743764176,30.820269387755104,0.2946669327212599,0.08090427031158015,0.21376266240967973,17.178407752088003,17.225342429426274,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-15,2585983,31.0,31.57,30.65,31.55,31.39875,31.094640000000005,30.9304124824533,30.86196827988338,0.4321362221445661,0.15115066067817734,0.28098556146638876,17.050264061564825,17.19350999890601,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-16,2841246,31.42,31.62,30.9,31.3,31.349375000000002,31.13571200000001,30.965611293648223,30.886998663890047,0.47029410210989303,0.21497934896452048,0.25531475314537255,16.808627022673445,17.123531275954633,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-19,3685911,31.1,31.5,30.95,31.19,31.269687500000003,31.146569600000007,30.986981646634106,30.90431302595347,0.4664857098086137,0.2652806211333391,0.2012050886752746,16.494619690396,17.009183714943973,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-20,2638681,31.11,31.2,30.63,30.65,30.95984375,31.047255680000006,30.954888156478475,30.889780853041845,0.31943099493694294,0.2761106958940599,0.04332029904288304,16.04742368364078,16.83431825470703,False,True,False,False,True,False,True,True,Neutral Sell,False,False,,,,False,,,,,,,False,False,,Neutral Sell ↓,50.0,50.0
FTI,Daily,2025-05-21,2971499,30.5,30.62,29.75,29.88,30.419921875,30.813804544000007,30.85251785586148,30.832079090010883,0.0016762199234160319,0.22122380069993114,-0.2195475807765151,15.447466393284262,16.58216337081198,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-22,4297920,29.57,29.77,28.87,29.56,29.9899609375,30.563043635200007,30.729420917208003,30.759388856295974,-0.3317064047099327,0.1106377596179584,-0.4423441643278911,14.79640780348918,16.25748054038965,False,False,False,False,True,True,True,True,Neutral,False,True,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-23,2524711,28.89,29.78,28.89,29.69,29.83998046875,30.388434908160008,30.63042844890248,30.69828092165049,-0.5568221047568479,-0.02285421325700286,-0.533967891499845,14.18506105669896,15.880676997900434,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-27,4453740,30.02,30.3,29.62,30.25,30.044990234375,30.36074792652801,30.594197168054624,30.672664868984747,-0.5811223407703072,-0.13450783875966374,-0.44661450201064345,13.687410310078423,15.48190123647825,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-28,7525632,30.57,30.73,30.13,30.72,30.3824951171875,30.43259834122241,30.60617839014466,30.67536973361419,-0.470634949927592,-0.2017332609932494,-0.2689016889343426,13.271956258191384,15.08009305860791,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-05-29,3439081,30.82,31.25,30.64,31.17,30.776247558593752,30.58007867297793,30.65987568632136,30.703634320264808,-0.2613264184806809,-0.2136518924907357,-0.04767452598994518,12.92423483947208,14.688118836946849,True,True,True,False,False,False,False,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
FTI,Daily,2025-05-30,5138701,31.03,31.29,30.77,31.15,30.963123779296875,30.694062938382345,30.70655419238599,30.72914093053539,-0.09991439723001554,-0.1909043934385917,0.09098999620857616,12.555330677738173,14.30033917163618,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-02,4567951,31.66,31.8,31.07,31.2,31.081561889648437,30.795250350705878,30.753549031206372,30.756047163076225,0.04039407363791881,-0.1446447000232896,0.1850387736612084,12.18216551180607,13.915216688030704,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-03,3228927,31.22,32.07,30.86,31.82,31.450780944824217,31.000200280564705,30.8551157901391,30.816844468043296,0.3097946028670058,-0.053756839445230534,0.3635514423122363,11.903982734356093,13.549537787362592,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-04,3260447,31.84,32.39,31.44,31.6,31.52539047241211,31.120160224451766,30.926057143459186,30.861596212726536,0.459648829390584,0.04892429432193237,0.41072453506865164,11.56671081939658,13.189023793186953,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-05,2400070,32.0,32.21,31.64,31.78,31.652695236206057,31.252128179561417,31.00738503455831,30.91407642914216,0.6174305560847629,0.1626255466744985,0.45480500941026447,11.247451969906038,12.836010734408603,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-06,3399762,32.23,32.62,31.91,32.52,32.086347618103034,31.505702543649136,31.151443602695615,31.005843490334033,0.9220229942294121,0.31450503618548126,0.6075179580439309,11.038337307453471,12.50916102041676,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-09,3412082,32.43,32.49,31.92,32.22,32.153173809051516,31.64856203491931,31.253210878629364,31.075223862314942,1.0720055839873601,0.46600514574585705,0.6060004382415031,10.752435468593866,12.189756374630779,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-10,4120663,32.53,33.16,32.31,32.96,32.55658690452576,31.91084962793545,31.415762223521806,31.182925355896945,1.3628908667274482,0.6453822899421753,0.7175085767852729,10.572760964546095,11.895757209160834,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
FTI,Daily,2025-06-11,3604615,33.0,34.33,32.82,34.27,33.41329345226288,32.38267970234836,31.687594392710206,31.359329621274263,1.899420535883005,0.8961899391303413,1.0032305967526636,10.57358081778846,11.655361501638584,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,51.8,50.0
FTI,Daily,2025-06-12,3597223,33.48,34.81,33.41,34.68,34.04664672613144,32.84214376187869,31.97258540292828,31.549082214344306,2.391590065456945,1.1952699643956621,1.196320101061283,10.581637125884741,11.460138887865158,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,51.6,50.0
FTI,Daily,2025-06-13,4329703,35.0,35.27,34.21,34.52,34.28332336306572,33.177715009502954,32.21519631693511,31.7188489449532,2.7032385676155237,1.4968636850396346,1.206374882575889,10.508123086105496,11.287045105727037,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,51.7,50.0
FTI,Daily,2025-06-16,3421482,34.2,34.8,33.98,34.68,34.481661681532856,33.47817200760237,32.44993952484606,31.88805757667016,2.9499380410236706,1.787478556236442,1.1624594847872287,10.414230777617684,11.128351591525336,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,51.7,50.0
FTI,Daily,2025-06-17,3251426,35.08,35.52,34.77,35.31,34.89583084076643,33.8445376060819,32.72232623676548,32.083597143717576,3.2555447630202803,2.08109179759321,1.1744529654270703,10.37501517638487,10.991381334227068,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,52.4,50.0
FTI,Daily,2025-06-18,3704808,35.41,35.71,35.04,35.33,35.11291542038322,34.141630084865525,32.9706761189783,32.26910587836228,3.456230017833516,2.356119441641271,1.100110576192245,10.289608176415985,10.863786214625053,True,True,True,False,False,False,False,True,Neutral,True,False,,,,False,,,,,,,False,False,,Neutral,52.4,50.0
FTI,Daily,2025-06-20,11652316,35.62,35.7,34.94,35.15,35.13145771019161,34.34330406789242,33.1782307743137,32.43372839959872,3.5266994336573694,2.590235440044491,0.9364639936128785,10.135229028598772,10.731321271711183,True,True,True,False,False,False,False,True,Neutral,False,False,35.71,1.0,2025-06-18,True,-1.5681881825819162,33.9245,37.4955,32.8532,2.8568,8.0,False,False,,Neutral,52.5,50.0
FTI,Daily,2025-06-23,3623534,35.4,35.48,33.91,34.14,34.635728855095806,34.302643254313935,33.269827843426675,32.531229633907365,3.301559441961362,2.732500240427865,0.5690592015334968,9.797655173804438,10.561563799364501,True,True,True,False,False,False,False,True,Neutral,False,False,35.71,2.0,2025-06-18,True,-4.3965275833099975,33.9245,37.4955,32.8532,2.8568,8.0,False,False,,Neutral,52.2,50.0
FTI,Daily,2025-06-24,5260856,33.94,34.55,33.65,34.05,34.3428644275479,34.25211460345115,33.34412995357651,32.6180165119698,3.066107960403758,2.799221784423044,0.26688617598071396,9.443411593965699,10.358263398382901,True,True,False,False,False,False,True,True,Neutral,False,True,35.71,3.0,2025-06-18,True,-4.648557826939244,33.9245,37.4955,32.8532,2.8568,8.0,False,False,,Neutral,52.0,50.0
