Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
FTI,Weekly,2020-11-13,7.020000,7.690000,6.790000,7.310000,44695999,7.310000,7.310000,7.310000,7.310000,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2020-11-20,7.920000,8.750000,7.600000,8.260000,35978014,7.785000,7.500000,7.400476,7.364286,1.026825,0.205365,129.958960,129.958960,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2020-11-27,8.400000,9.840000,8.370000,8.970000,32124289,8.377500,7.794000,7.549955,7.456041,2.546405,0.673573,129.726143,129.916630,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2020-12-04,9.000000,10.270000,8.280000,10.270000,34064296,9.323750,8.289200,7.809007,7.616838,4.967607,1.532380,129.607631,129.860448,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2020-12-11,9.930000,10.190000,9.520000,9.670000,28610597,9.496875,8.565360,7.986244,7.734162,6.123998,2.450703,128.511495,129.615184,Neutral,Neutral,55.700000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2020-12-18,9.770000,10.050000,9.370000,9.480000,31788924,9.488437,8.748288,8.128507,7.833924,6.735674,3.307698,126.790934,129.101684,Neutral,Neutral,52.600000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2020-12-25,8.970000,9.640000,8.850000,9.400000,14584869,9.444219,8.878630,8.249601,7.923414,7.037267,4.053611,124.605218,128.284145,Neutral,Neutral,51.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2021-01-01,9.600000,9.840000,9.350000,9.400000,11778656,9.422109,8.982904,8.359163,8.007791,7.175433,4.677976,122.078243,127.155799,Neutral,Neutral,47.900000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2021-01-08,9.780000,12.050000,9.490000,11.700000,44455195,10.561055,9.526323,8.677338,8.218774,9.218160,5.586013,120.567640,125.957952,Neutral,Neutral,53.500000,50.000000,False,False,,,,False,,,,False,False,
FTI,Weekly,2021-01-15,11.620000,13.040000,11.490000,11.850000,53763097,11.205527,9.991059,8.979496,8.426273,10.708346,6.610479,118.706744,124.639550,Neutral,Neutral,54.500000,50.000000,True,False,,,,False,,,,False,False,
FTI,Weekly,2021-01-22,12.050000,12.050000,10.670000,11.210000,26135894,11.207764,10.234847,9.191925,8.585343,11.137013,7.515786,116.202776,123.105591,Neutral,Neutral 🔴EXIT,53.300000,50.000000,False,False,13.040000,12.388000,13.692000,False,-14.033742,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-01-29,10.740000,11.690000,10.320000,10.690000,53372045,10.948882,10.325878,9.334599,8.705609,10.890157,8.190660,113.202877,121.305098,Neutral,Neutral 🔴EXIT,53.300000,50.000000,False,False,13.040000,12.388000,13.692000,False,-18.021472,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-02-05,10.650000,11.660000,10.330000,10.760000,38277829,10.854441,10.412702,9.470351,8.823003,10.612097,8.674948,110.075161,119.263291,Neutral,Neutral 🔴EXIT,46.200000,7.692308,False,False,13.040000,12.388000,13.692000,False,-17.484663,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-02-12,10.750000,11.000000,9.750000,10.310000,236948408,10.582220,10.392162,9.550318,8.907974,9.907549,8.921468,106.598850,116.960666,Neutral,Neutral 🔴EXIT,52.900000,7.142857,False,False,13.040000,12.388000,13.692000,False,-20.935583,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-02-19,8.440000,8.550000,7.020000,7.280000,47921812,8.931110,9.769729,9.334097,8.814947,6.807223,8.498619,101.509366,114.151338,Neutral Sell,Neutral Sell ↓ 🔴EXIT,38.300000,6.666667,False,False,13.040000,12.388000,13.692000,False,-44.171779,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-02-26,7.080000,8.770000,6.710000,8.220000,74837611,8.575555,9.459783,9.227993,8.780950,5.038521,7.806599,97.306508,111.088642,Neutral,Neutral 🔴EXIT,43.600000,18.750000,False,True,13.040000,12.388000,13.692000,False,-36.963190,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-03-05,8.230000,9.260000,8.140000,9.260000,52846644,8.917778,9.419827,9.231041,8.808324,4.468721,7.139024,93.869749,107.957934,Neutral,Neutral 🔴EXIT,44.900000,35.294118,False,False,13.040000,12.388000,13.692000,False,-28.987730,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-03-12,9.130000,9.280000,8.620000,8.760000,41816088,8.838889,9.287861,9.186180,8.805563,3.545798,6.420379,90.150691,104.720253,Neutral,Neutral 🔴EXIT,43.700000,27.777778,False,False,13.040000,12.388000,13.692000,False,-32.822086,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-03-19,8.810000,8.920000,7.660000,7.830000,49897820,8.334444,8.996289,9.057020,8.749816,1.970652,5.530433,85.934061,101.304582,Neutral,Neutral 🔴EXIT,46.500000,10.526316,False,False,13.040000,12.388000,13.692000,False,-39.953988,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-03-26,7.710000,8.050000,7.240000,8.040000,36978782,8.187222,8.805031,8.960161,8.709255,0.880917,4.600530,82.018189,97.797965,Neutral,Neutral 🔴EXIT,44.900000,30.000000,False,False,13.040000,12.388000,13.692000,False,-38.343558,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-04-02,7.920000,7.990000,7.560000,7.980000,21788742,8.083611,8.640025,8.866812,8.667584,-0.048727,3.670679,78.198643,94.234452,Neutral,Neutral 🔴EXIT,43.000000,42.857143,False,False,13.040000,12.388000,13.692000,False,-38.803681,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-04-09,7.980000,8.010000,7.450000,7.550000,22946501,7.816806,8.422020,8.741402,8.603722,-1.184030,2.699737,74.235998,90.598369,Neutral,Neutral 🔴EXIT,37.400000,36.363636,False,False,13.040000,12.388000,13.692000,False,-42.101227,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-04-16,7.550000,7.670000,7.150000,7.270000,25518652,7.543403,8.191616,8.601268,8.527509,-2.344849,1.690820,70.260922,86.900652,Neutral,Neutral 🔴EXIT,38.200000,21.739130,False,False,13.040000,12.388000,13.692000,False,-44.248466,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-04-23,7.250000,7.390000,6.740000,6.950000,34226840,7.246701,7.943293,8.444004,8.437366,-3.563631,0.639930,66.259587,83.147731,Neutral,Neutral 🔴EXIT,36.600000,20.833333,False,True,13.040000,12.388000,13.692000,False,-46.702454,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-04-30,6.970000,7.990000,6.930000,7.400000,47150413,7.323351,7.834634,8.344575,8.378088,-4.066152,-0.301287,62.832461,79.454045,Neutral,Neutral 🔴EXIT,40.800000,20.000000,False,False,13.040000,12.388000,13.692000,False,-43.251534,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-05-07,7.620000,8.600000,7.600000,8.580000,35116302,7.951675,7.983707,8.366997,8.389626,-3.260615,-0.893153,60.415244,75.992445,Neutral,Neutral 🔴EXIT,43.500000,50.000000,False,False,13.040000,12.388000,13.692000,False,-34.202454,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-05-14,8.540000,8.690000,7.700000,8.210000,25250002,8.080838,8.028966,8.352045,8.379361,-2.953664,-1.305255,57.801915,72.685076,Neutral Buy,Neutral Buy ↑ 🔴EXIT,46.200000,51.851852,False,False,13.040000,12.388000,13.692000,False,-37.039877,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-05-21,8.130000,8.460000,7.970000,8.210000,22948010,8.145419,8.065173,8.338517,8.369683,-2.679385,-1.580081,55.263002,69.517426,Neutral,Neutral 🔴EXIT,51.500000,50.000000,False,False,13.040000,12.388000,13.692000,False,-37.039877,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-05-28,8.180000,8.700000,7.970000,8.590000,21284938,8.367709,8.170138,8.362467,8.382273,-2.064688,-1.677002,53.046004,66.522622,Neutral,Neutral 🔴EXIT,48.800000,58.620690,False,False,13.040000,12.388000,13.692000,False,-34.125767,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-06-04,8.880000,10.550000,8.810000,10.410000,43119606,9.388855,8.618111,8.557471,8.498143,0.162756,-1.309051,51.991947,63.880681,Neutral,Neutral 🔴EXIT,52.200000,93.333333,False,False,13.040000,12.388000,13.692000,False,-20.168712,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-06-11,10.440000,10.700000,10.020000,10.130000,21559467,9.759427,8.920488,8.707235,8.591392,1.594556,-0.728329,50.673855,61.479440,Neutral,Neutral 🔴EXIT,53.500000,83.870968,True,False,13.040000,12.388000,13.692000,False,-22.315951,11.996800,1.043200,False,True,Stop Loss Hit ($12.00)
FTI,Weekly,2021-06-18,10.280000,10.280000,8.630000,8.740000,42724835,9.249714,8.884391,8.710356,8.599884,1.419027,-0.298858,48.553422,59.129255,Neutral,Neutral 🔴EXIT,48.900000,40.625000,False,False,10.700000,10.165000,11.235000,False,-18.317757,9.844000,0.856000,False,True,Stop Loss Hit ($9.84)
