Symbol,TimeFrame,Date,Volume,Open,High,Low,Close
AAPL,Daily,2025-10-17,49147000,247.77980070207627,253.13461023404025,247.03052706557392,252.045654296875
AAPL,Daily,2025-10-20,90483000,255.64218177653177,264.1239650925819,255.3824390623343,261.98602294921875
AAPL,Daily,2025-10-21,46695900,261.6263807259345,265.03308188579996,261.5764108568555,262.5155029296875
AAPL,Daily,2025-10-22,45015300,262.3956210979312,262.5954395959732,255.18261234613632,258.19970703125
AAPL,Daily,2025-10-23,32754900,259.68824995662277,260.36758405794774,257.76012648314656,259.3285827636719
AAPL,Daily,2025-10-24,38253700,260.93706434715574,263.87421967110856,258.9290010880386,262.56549072265625
AAPL,Daily,2025-10-27,44888200,264.6234656652487,268.8593494221352,264.3936774471076,268.5496520996094
AAPL,Daily,2025-10-28,41534800,268.7294713644567,269.6286240979669,267.8902885694659,268.7394714355469
AAPL,Daily,2025-10-29,51086700,269.01920560410514,271.1471476128123,266.85129379808274,269.4388122558594
AAPL,Daily,2025-10-30,69886500,271.72657092903916,273.87451306817263,268.2199910571769,271.13714599609375
AAPL,Daily,2025-10-31,86167100,276.721738255342,277.05143573891627,268.89933466249033,270.108154296875
AAPL,Daily,2025-11-03,50194600,270.15812755648943,270.5877038096653,265.9921525413924,268.7894287109375
AAPL,Daily,2025-11-04,49274800,268.0701070960229,271.22705027239556,267.36080327265466,269.7784729003906
AAPL,Daily,2025-11-05,43683100,268.3498399683747,271.43687417180433,266.67147434431234,269.8783874511719
AAPL,Daily,2025-11-06,51204000,267.6305743388968,273.1352174017799,267.6305743388968,269.50872802734375
AAPL,Daily,2025-11-07,48227400,269.5386899523433,272.02629915101613,266.51162568814635,268.2099914550781
AAPL,Daily,2025-11-10,41312400,268.9599914550781,273.7300109863281,267.4599914550781,269.42999267578125
AAPL,Daily,2025-11-11,46208300,269.80999755859375,275.9100036621094,269.79998779296875,275.25
AAPL,Daily,2025-11-12,48398000,275.0,275.7300109863281,271.70001220703125,273.4700012207031
AAPL,Daily,2025-11-13,49602800,274.1099853515625,276.70001220703125,272.0899963378906,272.95001220703125
AAPL,Daily,2025-11-14,47399300,271.04998779296875,275.9599914550781,269.6000061035156,272.4100036621094
AAPL,Daily,2025-11-17,20626125,268.7200012207031,270.489990234375,266.6499938964844,267.8500061035156
